,country,year,sex,age,cases
17143,AD,1996,f,0-14,0
0,AD,1996,m,0-14,0
19592,AD,1996,f,15-24,1
2449,AD,1996,m,15-24,0
22041,AD,1996,f,25-34,1
4898,AD,1996,m,25-34,0
24490,AD,1996,f,35-44,0
7347,AD,1996,m,35-44,4
26939,AD,1996,f,45-54,0
9796,AD,1996,m,45-54,1
29388,AD,1996,f,55-64,1
12245,AD,1996,m,55-64,0
31837,AD,1996,f,65+,0
14694,AD,1996,m,65+,0
17144,AD,1997,f,0-14,0
1,AD,1997,m,0-14,0
19593,AD,1997,f,15-24,1
2450,AD,1997,m,15-24,0
22042,AD,1997,f,25-34,2
4899,AD,1997,m,25-34,1
24491,AD,1997,f,35-44,3
7348,AD,1997,m,35-44,2
26940,AD,1997,f,45-54,0
9797,AD,1997,m,45-54,2
29389,AD,1997,f,55-64,0
12246,AD,1997,m,55-64,1
31838,AD,1997,f,65+,1
14695,AD,1997,m,65+,6
17145,AD,1998,f,0-14,0
2,AD,1998,m,0-14,0
19594,AD,1998,f,15-24,0
2451,AD,1998,m,15-24,0
22043,AD,1998,f,25-34,0
4900,AD,1998,m,25-34,0
24492,AD,1998,f,35-44,0
7349,AD,1998,m,35-44,1
26941,AD,1998,f,45-54,0
9798,AD,1998,m,45-54,0
29390,AD,1998,f,55-64,0
12247,AD,1998,m,55-64,0
31839,AD,1998,f,65+,0
14696,AD,1998,m,65+,0
17146,AD,1999,f,0-14,0
3,AD,1999,m,0-14,0
19595,AD,1999,f,15-24,0
2452,AD,1999,m,15-24,0
22044,AD,1999,f,25-34,0
4901,AD,1999,m,25-34,0
24493,AD,1999,f,35-44,1
7350,AD,1999,m,35-44,1
26942,AD,1999,f,45-54,0
9799,AD,1999,m,45-54,1
29391,AD,1999,f,55-64,0
12248,AD,1999,m,55-64,0
31840,AD,1999,f,65+,0
14697,AD,1999,m,65+,0
17147,AD,2000,f,0-14,0
4,AD,2000,m,0-14,0
19596,AD,2000,f,15-24,0
2453,AD,2000,m,15-24,0
22045,AD,2000,f,25-34,0
4902,AD,2000,m,25-34,1
24494,AD,2000,f,35-44,0
7351,AD,2000,m,35-44,0
26943,AD,2000,f,45-54,0
9800,AD,2000,m,45-54,0
29392,AD,2000,f,55-64,0
12249,AD,2000,m,55-64,0
31841,AD,2000,f,65+,0
14698,AD,2000,m,65+,0
17148,AD,2001,f,0-14,0
5,AD,2001,m,0-14,0
19597,AD,2001,f,15-24,0
2454,AD,2001,m,15-24,0
22046,AD,2001,f,25-34,0
4903,AD,2001,m,25-34,0
24495,AD,2001,f,35-44,0
7352,AD,2001,m,35-44,2
26944,AD,2001,f,45-54,0
9801,AD,2001,m,45-54,1
29393,AD,2001,f,55-64,0
12250,AD,2001,m,55-64,0
31842,AD,2001,f,65+,0
14699,AD,2001,m,65+,0
17149,AD,2002,f,0-14,0
6,AD,2002,m,0-14,0
19598,AD,2002,f,15-24,1
2455,AD,2002,m,15-24,0
22047,AD,2002,f,25-34,0
4904,AD,2002,m,25-34,0
24496,AD,2002,f,35-44,0
7353,AD,2002,m,35-44,1
26945,AD,2002,f,45-54,0
9802,AD,2002,m,45-54,0
29394,AD,2002,f,55-64,0
12251,AD,2002,m,55-64,0
31843,AD,2002,f,65+,0
14700,AD,2002,m,65+,0
17150,AD,2003,f,0-14,0
7,AD,2003,m,0-14,0
19599,AD,2003,f,15-24,1
2456,AD,2003,m,15-24,0
22048,AD,2003,f,25-34,1
4905,AD,2003,m,25-34,0
24497,AD,2003,f,35-44,1
7354,AD,2003,m,35-44,1
26946,AD,2003,f,45-54,0
9803,AD,2003,m,45-54,2
29395,AD,2003,f,55-64,0
12252,AD,2003,m,55-64,0
31844,AD,2003,f,65+,0
14701,AD,2003,m,65+,0
17151,AD,2004,f,0-14,0
8,AD,2004,m,0-14,0
19600,AD,2004,f,15-24,0
2457,AD,2004,m,15-24,0
22049,AD,2004,f,25-34,1
4906,AD,2004,m,25-34,0
24498,AD,2004,f,35-44,0
7355,AD,2004,m,35-44,1
26947,AD,2004,f,45-54,0
9804,AD,2004,m,45-54,1
29396,AD,2004,f,55-64,0
12253,AD,2004,m,55-64,0
31845,AD,2004,f,65+,0
14702,AD,2004,m,65+,0
17152,AD,2005,f,0-14,0
9,AD,2005,m,0-14,0
19601,AD,2005,f,15-24,1
2458,AD,2005,m,15-24,0
22050,AD,2005,f,25-34,1
4907,AD,2005,m,25-34,1
24499,AD,2005,f,35-44,1
7356,AD,2005,m,35-44,1
26948,AD,2005,f,45-54,0
9805,AD,2005,m,45-54,0
29397,AD,2005,f,55-64,0
12254,AD,2005,m,55-64,0
31846,AD,2005,f,65+,0
14703,AD,2005,m,65+,0
17153,AD,2006,f,0-14,0
10,AD,2006,m,0-14,0
19602,AD,2006,f,15-24,0
2459,AD,2006,m,15-24,1
22051,AD,2006,f,25-34,1
4908,AD,2006,m,25-34,1
24500,AD,2006,f,35-44,0
7357,AD,2006,m,35-44,2
26949,AD,2006,f,45-54,1
9806,AD,2006,m,45-54,0
29398,AD,2006,f,55-64,0
12255,AD,2006,m,55-64,1
31847,AD,2006,f,65+,0
14704,AD,2006,m,65+,1
17154,AD,2007,f,0-14,0
11,AD,2007,m,0-14,0
19603,AD,2007,f,15-24,0
2460,AD,2007,m,15-24,0
22052,AD,2007,f,25-34,1
4909,AD,2007,m,25-34,0
24501,AD,2007,f,35-44,0
7358,AD,2007,m,35-44,0
26950,AD,2007,f,45-54,1
9807,AD,2007,m,45-54,0
29399,AD,2007,f,55-64,0
12256,AD,2007,m,55-64,0
31848,AD,2007,f,65+,0
14705,AD,2007,m,65+,0
17155,AD,2008,f,0-14,0
12,AD,2008,m,0-14,0
19604,AD,2008,f,15-24,0
2461,AD,2008,m,15-24,0
22053,AD,2008,f,25-34,0
4910,AD,2008,m,25-34,0
24502,AD,2008,f,35-44,1
7359,AD,2008,m,35-44,0
26951,AD,2008,f,45-54,1
9808,AD,2008,m,45-54,1
29400,AD,2008,f,55-64,0
12257,AD,2008,m,55-64,0
31849,AD,2008,f,65+,0
14706,AD,2008,m,65+,0
17156,AE,1999,f,0-14,9
13,AE,1999,m,0-14,4
19605,AE,1999,f,15-24,11
2462,AE,1999,m,15-24,9
22054,AE,1999,f,25-34,5
4911,AE,1999,m,25-34,3
24503,AE,1999,f,35-44,3
7360,AE,1999,m,35-44,2
26952,AE,1999,f,45-54,0
9809,AE,1999,m,45-54,4
29401,AE,1999,f,55-64,3
12258,AE,1999,m,55-64,6
31850,AE,1999,f,65+,2
14707,AE,1999,m,65+,5
17157,AE,2000,f,0-14,3
14,AE,2000,m,0-14,2
19606,AE,2000,f,15-24,16
2463,AE,2000,m,15-24,4
22055,AE,2000,f,25-34,1
4912,AE,2000,m,25-34,4
24504,AE,2000,f,35-44,3
7361,AE,2000,m,35-44,6
26953,AE,2000,f,45-54,0
9810,AE,2000,m,45-54,5
29402,AE,2000,f,55-64,0
12259,AE,2000,m,55-64,12
31851,AE,2000,f,65+,4
14708,AE,2000,m,65+,10
17158,AE,2002,f,0-14,3
15,AE,2002,m,0-14,1
19607,AE,2002,f,15-24,3
2464,AE,2002,m,15-24,2
22056,AE,2002,f,25-34,8
4913,AE,2002,m,25-34,0
24505,AE,2002,f,35-44,3
7362,AE,2002,m,35-44,6
26954,AE,2002,f,45-54,4
9811,AE,2002,m,45-54,6
29403,AE,2002,f,55-64,10
12260,AE,2002,m,55-64,10
31852,AE,2002,f,65+,1
14709,AE,2002,m,65+,0
17159,AE,2003,f,0-14,4
16,AE,2003,m,0-14,2
19608,AE,2003,f,15-24,9
2465,AE,2003,m,15-24,10
22057,AE,2003,f,25-34,5
4914,AE,2003,m,25-34,8
24506,AE,2003,f,35-44,3
7363,AE,2003,m,35-44,12
26955,AE,2003,f,45-54,3
9812,AE,2003,m,45-54,3
29404,AE,2003,f,55-64,2
12261,AE,2003,m,55-64,2
31853,AE,2003,f,65+,4
14710,AE,2003,m,65+,10
17160,AE,2004,f,0-14,3
17,AE,2004,m,0-14,1
19609,AE,2004,f,15-24,6
2466,AE,2004,m,15-24,7
22058,AE,2004,f,25-34,2
4915,AE,2004,m,25-34,6
24507,AE,2004,f,35-44,7
7364,AE,2004,m,35-44,7
26956,AE,2004,f,45-54,2
9813,AE,2004,m,45-54,3
29405,AE,2004,f,55-64,2
12262,AE,2004,m,55-64,1
31854,AE,2004,f,65+,3
14711,AE,2004,m,65+,7
17161,AE,2006,f,0-14,2
18,AE,2006,m,0-14,0
19610,AE,2006,f,15-24,6
2467,AE,2006,m,15-24,5
22059,AE,2006,f,25-34,4
4916,AE,2006,m,25-34,3
